Symbol,Company Name,Current Price,PE,Market Capital,FFMC,Outstanding Shares,Basic Industry,Industry,Macro,Sectoral Index,Sectoral PE,Status
HUDCO,Housing & Urban Development Corporation Limited,47.1,5.82,942894.9,169721.082,2001900000,Financial Institution,Financial Institution,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
JSLHISAR,Jindal Stainless (Hisar) Limited,544.9,11.01,1285608.1,523375.0914089,235934685,Iron & Steel Products,Iron & Steel Products,Industrials,NIFTY METAL                                       ,12.23,Active
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,586.05,NA,1100371.54,563439.7949813,187760692,Investment Company,Investment Company,Financial Services,NA,NA,Active
GODFRYPHLP,Godfrey Phillips India Limited,1995,16.98,1037278.7,280521.496728,51993920,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
NATCOPHARM,Natco Pharma Limited,567,31.91,1035099.13,529297.1163428,182557165,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
HFCL,HFCL Limited,67.5,32.29,929986.87,569393.0701113,1377758321,Telecom - Infrastructure,Telecom - Infrastructure,Telecommunication,NIFTY 500                                         ,21.73,Active
MOTILALOFS,Motilal Oswal Financial Services Limited,605.05,12.63,894718.39,215743.87923939998,147875116,Stockbroking & Allied,Stockbroking & Allied,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
CESC,CESC Limited,70,11.23,927899.3,444437.2537704,1325570430,Integrated Power Utilities,Integrated Power Utilities,Utilities,NIFTY INFRASTRUCTURE                              ,21.24,Active
SUNCLAYLTD,Sundaram Clayton Limited,4645.25,11.24,939830.93,245095.1194653,20232085,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
AKZOINDIA,Akzo Nobel India Limited,2230,30.98,1015549,213910.824413,45540314,Paints,Paints,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
EIDPARRY,EID Parry India Limited,527,26.95,935517.7,511970.5675018,177517591,Fertilizers,Fertilizers,Commodities,NIFTY FMCG                                        ,39.82,Active
ALLCARGO,Allcargo Logistics Limited,375.1,32.15,921603.91,275928.3582282,245695524,Logistics Solution Provider,Logistics Solution Provider,Services,NIFTY INFRASTRUCTURE                              ,21.24,Active
ITI,ITI Limited,95.5,128.55,906846.37,90589.6793808,949577352,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,Telecommunication,NIFTY 500                                         ,21.73,Active
MRPL,Mangalore Refinery and Petrochemicals Limited,53.65,4.47,940269.24,102851.2592282,1752598777,Refineries & Marketing,Refineries & Marketing,Energy,NIFTY 500                                         ,21.73,Active
MANAPPURAM,Manappuram Finance Limited,110.3,7.35,933573.39,598028.6597222,846394729,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
RAYMOND,Raymond Limited,1311.5,0,873114.48,443896.32913790003,66573731,Garments & Apparels,Garments & Apparels,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
AMARAJABAT,Amara Raja Batteries Limited,574.25,14.92,980890.78,569164.33125,170812500,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
TANLA,Tanla Platforms Limited,648.9,45.1,881136.07,465685.9980291,135789192,Software Products,Software Products,Information Technology,NIFTY IT                                          ,26.74,Active
JKLAKSHMI,JK Lakshmi Cement Limited,694.9,22.84,817689.29,440472.0046565,117670066,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
ZYDUSWELL,Zydus Wellness Limited,1484,165.15,944301.02,216845.3021625,63632144,Packaged Foods,Packaged Foods,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
GESHIP,The Great Eastern Shipping Company Limited,581,4.34,829477.21,582083.1304712,142767161,Shipping,Shipping,Services,NIFTY 500                                         ,21.73,Active
VTL,Vardhman Textiles Limited,315,9.84,910750.21,328888.80576,289127050,Other Textile Products,Other Textile Products,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
VIPIND,VIP Industries Limited,610,48.05,863978.59,422128.496955,141635835,Plastic Products - Consumer,Plastic Products - Consumer,Consumer Discretionary,NIFTY INDIA CONSUMPTION                           ,38.01,Active
KRBL,KRBL Limited,349.7,11.81,823158.45,246735.68479439997,235389892,Other Agricultural Products,Other Agricultural Products,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
EASEMYTRIP,Easy Trip Planners Limited,49.95,NA,868290.84,216638.13,1738320000,Tour Travel Related Services,Tour Travel Related Services,Consumer Discretionary,NA,NA,Active
KARURVYSYA,Karur Vysya Bank Limited,104,8.72,833843.57,806678.0047732,801772660,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,652,28.71,823070.62,452862.4174594,126237825,Commodity Chemicals,Commodity Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
GODREJAGRO,Godrej Agrovet Limited,441,22.57,847429.52,135527.11824379998,192160890,Animal Feed,Animal Feed,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
PNBHOUSING,PNB Housing Finance Limited,590,11.12,996062.59,347174.1499433,168824168,Housing Finance Company,Housing Finance Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
CYIENT,Cyient Limited,950.2,19.94,1050683.71,781158.3145208,110575006,IT Enabled Services,IT Enabled Services,Information Technology,NIFTY IT                                          ,26.74,Active
TEJASNET,Tejas Networks Limited,613.55,0,1032720.48,423725.9459946,168318879,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,Telecommunication,NIFTY IT                                          ,26.74,Active
ERIS,Eris Lifesciences Limited,625.75,21.51,850961.91,246463.45590849998,135990717,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
BALAMINES,Balaji Amines Limited,2225.05,26.05,720938.45,230798.8032,32401000,Specialty Chemicals,Specialty Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
GALAXYSURF,Galaxy Surfactants Limited,2394,42.49,848786.76,245875.69146610002,35454752,Specialty Chemicals,Specialty Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,556.6,4.79,865060.95,511578.0203106,155418783,Commodity Chemicals,Commodity Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
POLYMED,Poly Medicure Limited,980.05,62.81,940045.26,439026.21930269996,95918092,Medical Equipment & Supplies,Medical Equipment & Supplies,Healthcare,NIFTY PHARMA                                      ,31.02,Active
JINDWORLD,Jindal Worldwide Limited,313,51.9,627628.85,100340.40816,200520400,Other Textile Products,Other Textile Products,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
SAPPHIRE,Sapphire Foods India Limited,1250,NA,794281.76,278721.41327889997,63542541,Restaurants,Restaurants,Consumer Discretionary,NA,NA,Active
JUBLINGREA,Jubilant Ingrevia Limited,438.9,NA,699084.92,335828.35346759995,159281139,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
TRITURBINE,Triveni Turbine Limited,334.55,77.66,1063457.21,367750.28888550005,317876913,Heavy Electrical Equipment,Heavy Electrical Equipment,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
FINCABLES,Finolex Cables Limited,779,25.15,1191397.5,600363.3987975,152939345,Cables - Electricals,Cables - Electricals,Industrials,NIFTY 500                                         ,21.73,Active
KALPATPOWR,Kalpataru Power Transmission Limited,566.3,15.83,919932.56,490276.2946589,162446152,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
MGL,Mahanagar Gas Limited,987.4,17.08,975331.78,555122.7162489,98777778,LPG/CNG/PNG/LNG Supplier,LPG/CNG/PNG/LNG Supplier,Energy,NIFTY 500                                         ,21.73,Active
ASTRAZEN,AstraZeneca Pharma India Limited,3320.25,76.15,830062.5,207075,25000000,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
BSOFT,BIRLASOFT LIMITED,290,31.29,797124.59,456884.2396559,274870547,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
RITES,RITES Limited,351,16.07,843459.62,236740.6130347,240301887,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
BALRAMCHIN,Balrampur Chini Mills Limited,376.1,23.77,767005.09,444437.8876,203936477,Sugar,Sugar,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
SWANENERGY,Swan Energy Limited,290.05,644.56,765491.26,185618.10444,263917000,Other Textile Products,Other Textile Products,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
CENTURYTEX,Century Textiles & Industries Limited,635.95,29.83,710328.68,340877.34405119997,111695680,Paper & Paper Products,Paper & Paper Products,Commodities,NIFTY 500                                         ,21.73,Active
SHYAMMETL,Shyam Metalics and Energy Limited,280.5,NA,715501.33,85951.98862850001,255080688,Iron & Steel,Iron & Steel,Commodities,NA,NA,Active
SONATSOFTW,Sonata Software Limited,818.7,51.32,1147918.98,796756.307398,140212408,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
LXCHEM,Laxmi Organic Industries Limited,265.1,NA,702956.19,189833.96877369998,265166424,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
SHOPERSTOP,Shoppers Stop Limited,640,80.82,701746.17,240082.3420632,109647839,Diversified Retail,Diversified Retail,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
ALOKINDS,Alok Industries Limited,13.35,NA,662859.59,166335.5534335,4965240401,Other Textile Products,Other Textile Products,Consumer Discretionary,NA,NA,Active
GRANULES,Granules India Limited,289.75,13.75,701318.89,392670.8039139,242042756,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
WELSPUNIND,Welspun India Limited,69.1,58.11,682748.41,204824.5237332,988058484,Other Textile Products,Other Textile Products,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
TMB,Tamilnad Mercantile Bank Limited,454,NA,718915.6,35993.2854942,158351454,Private Sector Bank,Private Sector Bank,Financial Services,NA,NA,Active
ROUTE,ROUTE MOBILE LIMITED,1327,NA,826874.16,337881.5324756,62311542,Other Telecom Services,Other Telecom Services,Telecommunication,NA,NA,Active
BIRLACORPN,Birla Corporation Limited,895,112.98,689197.86,255174.1584608,77005347,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
LATENTVIEW,Latent View Analytics Limited,363.5,NA,738392.15,242965.5507234,203134017,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NA,NA,Active
JYOTHYLAB,Jyothy Labs Limited,190.35,33.67,698981.65,258215.6103311,367208644,Household Products,Household Products,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
RAINBOW,Rainbow Childrens Medicare Limited,737.5,NA,748574.94,217336.9347297,101501687,Hospital,Hospital,Healthcare,NA,NA,Active
SPLPETRO,Supreme Petrochem Limited,375,NA,705155.03,254194.2861156,188041342,Petrochemicals,Petrochemicals,Commodities,NA,NA,Active
SAREGAMA,Saregama India Limited,330.95,33.97,638103.01,255819.63133200002,192809490,Media & Entertainment,Media & Entertainment,Consumer Discretionary,NIFTY MEDIA                                       ,0,Active
RCF,Rashtriya Chemicals and Fertilizers Limited,103.45,7.33,570721.34,142404.4908125,551688100,Fertilizers,Fertilizers,Commodities,NIFTY 500                                         ,21.73,Active
PNCINFRA,PNC Infratech Limited,292.9,12.83,751403.21,328416.3082497,256539165,Civil Construction,Civil Construction,Industrials,NIFTY REALTY                                      ,38.26,Active
BSE,BSE Limited,484,33.33,655640.39,651441.042819,135462891,Exchange and Data Platform,Exchange and Data Platform,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
CRAFTSMAN,Craftsman Automation Limited,3298,NA,696811.7,285736.1087174,21128311,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NA,NA,Active
MEDPLUS,Medplus Health Services Limited,708.8,NA,845638.63,227436.5858575,119305676,Pharmacy Retail,Pharmacy Retail,Consumer Discretionary,NA,NA,Active
EQUITASBNK,Equitas Small Finance Bank Limited,72.95,NA,809962.74,229793.6893068,1110298485,Other Bank,Other Bank,Financial Services,NA,NA,Active
IBULHSGFIN,Indiabulls Housing Finance Limited,109.25,6.29,515219.32,438537.70623699995,471596630,Housing Finance Company,Housing Finance Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
GRAPHITE,Graphite India Limited,298.2,0.46,582610.02,203913.50745779998,195375594,Electrodes & Refractories,Electrodes & Refractories,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
ANURAS,Anupam Rasayan India Limited,741.85,NA,797226.26,119305.1163141,107464617,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
CHEMPLASTS,Chemplast Sanmar Limited,400,NA,632438.3,282533.9032593,158109574,Commodity Chemicals,Commodity Chemicals,Commodities,NA,NA,Active
KNRCON,KNR Constructions Limited,276.55,14.37,777754.29,381375.210195,281234600,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
FSL,Firstsource Solutions Limited,116.5,28.45,811994.31,354977.4276818,696990826,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,NIFTY IT                                          ,26.74,Active
CHALET,Chalet Hotels Limited,364.25,55.57,746803.07,209104.8587936,205024864,Hotels & Resorts,Hotels & Resorts,Consumer Discretionary,NIFTY SERVICES SECTOR                             ,19.96,Active
CANFINHOME,Can Fin Homes Limited,569,14.11,757646.97,477695.08383190003,133154125,Housing Finance Company,Housing Finance Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
GMMPFAUDLR,GMM Pfaudler Limited,1558.95,83.11,700860.64,307894.0442864,44957224,Industrial Products,Industrial Products,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
CCL,CCL Products (India) Limited,561,39.1,746286.63,394086.56618519995,133027920,Tea & Coffee,Tea & Coffee,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
COCHINSHIP,Cochin Shipyard Limited,473.25,10.7,622514.9,168451.9388379,131540390,Ship Building & Allied Services,Ship Building & Allied Services,Industrials,NIFTY 500                                         ,21.73,Active
STLTECH,Sterlite Technologies Limited,165,NA,657394.56,302477.6574108,398420943,Other Telecom Services,Other Telecom Services,Telecommunication,NA,NA,Active
NBCC,NBCC (India) Limited,35.75,41.23,643500,244872,1800000000,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
HGS,Hinduja Global Solutions Limited,1230,2.89,645999.51,211172.8386859,52520285,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,NIFTY IT                                          ,26.74,Active
JKPAPER,JK Paper Limited,392,7.8,664057.19,298711.3882338,169402344,Paper & Paper Products,Paper & Paper Products,Commodities,NIFTY 500                                         ,21.73,Active
NETWORK18,Network18 Media & Investments Limited,59.1,0,618746.57,148624.8117572,1046948519,Media & Entertainment,Media & Entertainment,Consumer Discretionary,NIFTY MEDIA                                       ,0,Active
TCIEXP,TCI Express Limited,1523.25,42.5,583785.94,194145.1617105,38325025,Logistics Solution Provider,Logistics Solution Provider,Services,NIFTY 500                                         ,21.73,Active
APARINDS,Apar Industries Limited,2307,19.85,882857.04,346254.464712,38268619,Other Electrical Equipment,Other Electrical Equipment,Industrials,NIFTY 500                                         ,21.73,Active
JMFINANCIL,JM Financial Limited,64.9,18.64,619656.81,259854.8511485,954787078,Investment Company,Investment Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
TRIVENI,Triveni Engineering & Industries Limited,286,3.76,691419.61,221525.0423952,241755110,Sugar,Sugar,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
METROPOLIS,Metropolis Healthcare Limited,1313.05,NA,672421.62,335926.077093,51210664,Healthcare Service Provider,Healthcare Service Provider,Healthcare,NA,NA,Active
BLS,BLS International Services Limited,164.2,158.03,674566.44,167614.56,410820000,Tour Travel Related Services,Tour Travel Related Services,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
LEMONTREE,Lemon Tree Hotels Limited,80.55,130.67,638154.53,390482.4371763,792246464,Hotels & Resorts,Hotels & Resorts,Consumer Discretionary,NIFTY SERVICES SECTOR                             ,19.96,Active
CERA,Cera Sanitaryware Limited,6233,41.23,810656.13,363332.09606400004,13005874,Sanitary Ware,Sanitary Ware,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
INDIACEM,The India Cements Limited,199.3,1116.3,617625.12,259207.31583240003,309897201,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
KSB,Ksb Limited,1947,38.13,677708.72,203119.4332698,34807844,Compressors Pumps & Diesel Engines,Compressors Pumps & Diesel Engines,Industrials,NIFTY INFRASTRUCTURE,21.24,Active
CEATLTD,CEAT Limited,1435,82.63,580458.82,308200.5769738,40450092,Tyres & Rubber Products,Tyres & Rubber Products,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
BORORENEW,BOROSIL RENEWABLES LIMITED,464.8,NA,606481.17,230100.86802979998,130482179,Glass - Industrial,Glass - Industrial,Industrials,NA,NA,Active
PRINCEPIPE,Prince Pipes And Fittings Limited,576.5,NA,637384.62,216447.63557990003,110561079,Plastic Products - Industrial,Plastic Products - Industrial,Industrials,NA,NA,Active
PGHL,Procter & Gamble Health Limited,5070.05,NA,841596.97,405289.1829614,16599382,Pharmaceuticals,Pharmaceuticals,Healthcare,NA,NA,Active
PRAJIND,Praj Industries Limited,347,26.77,637484.42,427237.64606019994,183713088,Industrial Products,Industrial Products,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
ECLERX,eClerx Services Limited,1429,19.78,725069.53,320291.97947669995,50739645,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,NIFTY IT                                          ,26.74,Active
ACI,Archean Chemical Industries Limited,643.3,NA,791599.88,126813.4883438,123052989,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
GOCOLORS,Go Fashion (India) Limited,956.75,NA,516730.95,171822.2913832,54008984,Speciality Retail,Speciality Retail,Consumer Discretionary,NA,NA,Active
HOMEFIRST,Home First Finance Company India Limited,742.2,NA,652422.89,190193.56072009998,87903920,Housing Finance Company,Housing Finance Company,Financial Services,NA,NA,Active
GARFIBRES,Garware Technical Fibres Limited,2910,37.81,593004.72,276037.4898438,20378169,Other Textile Products,Other Textile Products,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
ESABINDIA,Esab India Limited,3853,51.05,593093.06,153521.8231794,15393020,Other Industrial Products,Other Industrial Products,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
AMBER,Amber Enterprises India Limited,2021.05,411.72,680967.15,342025.06338099996,33693731,Household Appliances,Household Appliances,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
TV18BRDCST,TV18 Broadcast Limited,32.5,88.38,557167.05,222523.9488978,1714360161,TV Broadcasting & Software Production,TV Broadcasting & Software Production,Consumer Discretionary,NIFTY MEDIA                                       ,0,Active
SCI,Shipping Corporation Of India Limited,119.55,9.21,556862.72,200135.2026366,465799010,Shipping,Shipping,Services,NIFTY 500                                         ,21.73,Active
SYMPHONY,Symphony Limited,1190,47.73,832488.3,191222.912295,69957000,Consumer Electronics,Consumer Electronics,Consumer Discretionary,NIFTY INDIA CONSUMPTION                           ,38.01,Active
BBTC,Bombay Burmah Trading Corporation Limited,880.4,0,614271.81,159565.544424,69771900,Packaged Foods,Packaged Foods,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
WELCORP,Welspun Corp Limited,204.6,8.27,535089.14,267675.3357825,261529395,Iron & Steel Products,Iron & Steel Products,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
INDIGOPNTS,Indigo Paints Limited,1050,NA,499676.96,85048.1340463,47588282,Paints,Paints,Consumer Discretionary,NA,NA,Active
BEML,BEML Limited,1212.15,17.08,504793.81,231860.334645,41644500,Construction Vehicles,Construction Vehicles,Industrials,NIFTY 500                                         ,21.73,Active
INOXLEISUR,INOX Leisure Limited,0,0,0,0,122339094,,NA,,NIFTY MEDIA                                       ,0,Suspended
QUESS,Quess Corp Limited,368.8,26.06,546544.58,257084.9063017,148195384,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,NIFTY SERVICES SECTOR                             ,19.96,Active
JBMA,JBM Auto Limited,580,38.02,685833.37,109156.293415,118247133,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
INGERRAND,Ingersoll Rand (India) Limited,2462,49.97,777204.16,194123.47,31568000,Compressors Pumps & Diesel Engines,Compressors Pumps & Diesel Engines,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
INTELLECT,Intellect Design Arena Limited,455.25,42.54,617736.24,393929.35525819997,135691650,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
EDELWEISS,Edelweiss Financial Services Limited,61.9,7.81,583779.65,325860.3318068,943101215,Holding Company,Holding Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
JUBLPHARMA,Jubilant Pharmova Limited,304.05,NA,484294.3,237577.3756868,159281139,Pharmaceuticals,Pharmaceuticals,Healthcare,NA,NA,Active
BCG,Brightcom Group Limited,21.85,2873.09,440915.93,283477.664719,2017921873,IT Enabled Services,IT Enabled Services,Information Technology,NIFTY IT,26.74,Active
GAEL,Gujarat Ambuja Exports Limited,235.5,12.87,540084.7,194843.29636799998,229335330,Other Agricultural Products,Other Agricultural Products,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
RTNINDIA,RattanIndia Enterprises Limited,38.65,NA,534247.2,133907.366725,1382269592,Diversified Commercial Services,Diversified Commercial Services,Services,NA,NA,Active
KFINTECH,Kfin Technologies Limited,301,NA,509378.38,65101.3488899,169228699,Depositories Clearing Houses and Other Intermediaries,Depositories Clearing Houses and Other Intermediaries,Financial Services,NA,NA,Active
SPARC,Sun Pharma Advanced Research Company Limited,193,0,626284.15,137604.03756989999,324499558,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
RAIN,Rain Industries Limited,163.8,198.19,550934.22,309370.75554419996,336345679,Petrochemicals,Petrochemicals,Commodities,NIFTY 500                                         ,21.73,Active
SIS,SIS LIMITED,360.8,28.18,525780.62,146300.4967599,145726335,Diversified Commercial Services,Diversified Commercial Services,Services,NIFTY 500                                         ,21.73,Active
DELTACORP,Delta Corp Limited,197.6,23.47,528552.52,354399.0144179,267486095,Amusement Parks/ Other Recreation,Amusement Parks/ Other Recreation,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
DATAPATTNS,Data Patterns (India) Limited,1295.1,NA,671984,234685.9122825,51886650,Aerospace & Defense,Aerospace & Defense,Industrials,NA,NA,Active
MMTC,MMTC Limited,31.55,4.99,473250,47025,1500000000,Trading & Distributors,Trading & Distributors,Services,NIFTY 500                                         ,21.73,Active
UJJIVANSFB,Ujjivan Small Finance Bank Limited,27.55,NA,538490.23,139492.999083,1954592495,Other Bank,Other Bank,Financial Services,NA,NA,Active
GUJALKALI,Gujarat Alkalies and Chemicals Limited,650,6.81,477394.07,123845.5704177,73445242,Commodity Chemicals,Commodity Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
RUSTOMJEE,Keystone Realtors Limited,467.7,NA,532604.71,48026.664376,113877423,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NA,NA,Active
MAHLIFE,Mahindra Lifespace Developers Limited,358,27.42,553633.22,265751.16205630003,154646150,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NIFTY REALTY                                      ,38.26,Active
VMART,V-Mart Retail Limited,2408.35,178.79,476190.11,256965.5524664,19772463,Diversified Retail,Diversified Retail,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
IRCON,Ircon International Limited,54.8,9.35,515402.63,138904.7696406,940515740,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE,21.24,Active
RELIGARE,Religare Enterprises Limited,158,0,511129.15,480338.45413050003,323499463,Investment Company,Investment Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
ORIENTELEC,Orient Electric Limited,273,48.96,580904.63,313532.99968400004,212785578,Consumer Electronics,Consumer Electronics,Consumer Discretionary,NIFTY INDIA CONSUMPTION                           ,38.01,Active
MAPMYINDIA,C.E. Info Systems Limited,1215,NA,651978.38,143184.2907374,53660772,Software Products,Software Products,Information Technology,NA,NA,Active
GSFC,Gujarat State Fertilizers & Chemicals Limited,130.5,3.82,520013.18,296407.51069049997,398477530,Fertilizers,Fertilizers,Commodities,NIFTY 500                                         ,21.73,Active
GRSE,Garden Reach Shipbuilders & Engineers Limited,438,22.82,501737.76,130541.16816,114552000,Aerospace & Defense,Aerospace & Defense,Industrials,NIFTY 500,21.73,Active
RBA,Restaurant Brands Asia Limited,95.5,NA,472226.81,216913.43204810002,494478332,Restaurants,Restaurants,Consumer Discretionary,NA,NA,Active
SOBHA,Sobha Limited,567,59.11,537775.99,204210.7091772,94845853,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NIFTY REALTY                                      ,38.26,Active
J&KBANK,The Jammu & Kashmir Bank Limited,52.35,6.68,503334.71,160144.0856482,961479861,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
EPL,EPL Limited,166.8,NA,530869.33,212856.959568,318266985,Packaging,Packaging,Industrials,NA,NA,Active
MHRIL,Mahindra Holidays & Resorts India Limited,275.6,31.95,554580.62,170859.40916399998,201226640,Hotels & Resorts,Hotels & Resorts,Consumer Discretionary,NIFTY SERVICES SECTOR                             ,19.96,Active
CAPLIPOINT,Caplin Point Laboratories Limited,662,24.08,502476.18,151483.5931599,75902746,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
NCC,NCC Limited,93.65,8.93,587978.33,458378.23696699995,627846588,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
MAHSCOOTER,Maharashtra Scooters Limited,4509.2,26.11,515336.99,251165.52465029998,11428568,Investment Company,Investment Company,Financial Services,NIFTY AUTO                                        ,32.25,Active
GPIL,Godawari Power And Ispat limited,372.2,4.6,524597.25,168028.9768941,140944988,Iron & Steel Products,Iron & Steel Products,Industrials,NIFTY METAL                                       ,12.23,Active
PRSMJOHNSN,Prism Johnson Limited,105.05,0,528776.09,132571.5392575,503356580,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
AVANTIFEED,Avanti Feeds Limited,365.5,22.12,497977.78,149413.7701395,136245630,Animal Feed,Animal Feed,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
USHAMART,Usha Martin Limited,185.45,23.65,565143.63,292527.7294576,304741780,Iron & Steel Products,Iron & Steel Products,Industrials,NIFTY METAL                                       ,12.23,Active
MFL,Meghmani Finechem Limited,1030,NA,427966.63,124459.7587748,41550158,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
